Subject,Number,Course_Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,avg_gpa
ABE,226,ABE Principles: Bioprocessing,25,42,44,41,32,9,10,10,7,1,1,2,3,1,3.27
ABE,341,Transport Processes in ABE,2,22,15,11,21,14,7,6,3,2,3,0,0,0,3.08
ABE,361,Off-Road Machine Design,2,14,11,4,3,4,1,4,0,0,0,1,3,0,3.16
ABE,425,Engrg Measurement Systems,17,130,10,27,24,6,4,4,0,0,0,0,1,0,3.68
ABE,430,Project Management,1,396,71,93,159,38,11,21,6,1,1,0,2,0,3.52
ABE,436,Renewable Energy Systems,30,70,75,98,78,30,15,13,3,0,4,0,2,1,3.31
ABE,446,Biological Nanoengineering,1,6,12,2,0,1,0,0,0,0,0,0,0,0,3.7
ABE,456,Land & Water Resources Engrg,0,35,1,2,4,0,0,1,0,0,0,0,0,0,3.82
ABE,457,NPS Pollution Processes,2,16,0,1,2,0,0,0,0,0,0,0,0,0,3.87
ABE,466,Engineering Off-Road Vehicles,11,54,83,54,32,27,15,10,4,0,3,0,3,0,3.3
ABE,469,Industry-Linked Design Project,1,87,87,42,31,11,3,0,0,0,0,0,0,0,3.59
ABE,483,Engrg Properties of Food Matls,0,16,0,0,6,0,0,2,0,0,0,0,0,0,3.58
ABE,488,Bioprocessing Biomass for Fuel,24,61,39,35,15,12,6,6,1,0,0,0,0,1,3.52
ABE,498,Intro to Field Robotics,3,9,2,3,5,1,0,0,0,0,0,0,0,0,3.61
ABE,501,Graduate Research I,0,20,0,1,0,0,0,0,0,0,1,0,0,0,3.83
ACCY,200,Fundamentals of Accounting,106,952,582,505,476,374,292,211,134,61,80,38,21,0,3.13
ACCY,201,Accounting and Accountancy I,891,1353,1385,974,852,789,456,289,244,0,246,0,217,58,3.13
ACCY,202,Accounting and Accountancy II,375,1487,329,1436,1081,372,301,305,133,0,66,0,38,29,3.24
ACCY,301,Atg Measurement & Disclosure,210,749,901,797,727,341,130,98,34,17,11,7,18,9,3.33
ACCY,302,Decision Making for Atg,144,653,798,841,770,364,142,55,30,9,6,4,5,10,3.32
ACCY,303,Atg Institutions and Reg,251,762,773,712,501,255,134,85,50,19,17,30,10,12,3.34
ACCY,304,Accounting Control Systems,156,664,675,721,553,233,77,73,31,9,16,9,14,1,3.36
ACCY,312,Principles of Taxation,141,689,530,661,731,302,114,119,34,16,23,8,5,24,3.26
ACCY,398,Practical Problems in Atg,570,21,2,14,2,0,0,10,0,0,0,0,0,1,3.94
ACCY,405,Assurance and Attestation,68,563,623,751,544,150,79,24,18,3,3,0,2,8,3.39
ACCY,410,Advanced Financial Reporting,93,309,194,184,204,163,61,28,6,2,13,1,5,10,3.3
ACCY,415,Auditing Stds and Practice,5,101,66,79,76,46,8,15,10,1,4,0,1,2,3.26
ACCY,432,Intro to Mgt Info Systems,1,9,7,2,3,0,0,0,0,0,0,0,0,0,3.7
ACCY,451,Advanced Income Tax Problems,34,137,83,135,212,54,30,17,1,1,2,0,0,0,3.3
ACCY,500,"Atg Measuremnt, Rpting & Cntrl",139,591,310,210,214,84,25,11,2,0,2,0,7,3,3.57
ACCY,501,Accounting Analysis I,6,193,109,109,113,28,4,3,0,0,2,2,0,0,3.5
ACCY,501,Accounting Analysis I A,0,6,8,5,2,1,1,0,0,0,0,0,0,0,3.52
ACCY,501,Accounting Analysis I B,2,4,8,4,3,1,0,0,0,0,0,0,0,0,3.56
ACCY,502,Accounting Analysis II,89,265,167,143,53,23,19,12,1,2,3,1,0,0,3.6
ACCY,503,Managerial Accounting,78,554,398,291,163,37,9,7,1,0,0,0,0,11,3.6
ACCY,504,Auditing,77,299,236,138,226,27,8,3,1,0,0,0,0,0,3.55
ACCY,505,Federal Taxation,31,700,188,166,139,36,0,7,1,0,1,1,0,0,3.7
ACCY,510,Financial Reporting Standards,55,523,450,386,400,155,18,19,4,0,1,0,2,1,3.45
ACCY,511,External Risk Measurement/Rept,0,28,14,9,5,1,0,0,0,0,0,0,0,0,3.7
ACCY,511,Risk Measurement/Reporting I,51,312,464,405,220,36,10,9,1,0,0,0,1,0,3.51
ACCY,512,Internal Risk Measurement/Rept,11,47,59,33,20,1,2,0,0,0,0,0,0,0,3.62
ACCY,512,Risk Measurement/Reporting II,144,1068,421,213,92,40,7,4,0,0,0,1,0,1,3.77
ACCY,515,Auditing & Assurance Standards,13,396,254,277,307,77,6,14,3,0,0,1,0,1,3.46
ACCY,517,Financial Statement Analysis,28,639,272,309,337,127,13,16,1,0,0,0,0,3,3.5
ACCY,518,Financial Statement Fraud,58,19,0,1,2,0,0,0,0,0,0,0,0,0,3.97
ACCY,551,Corporate Income Taxation,34,68,35,79,167,12,4,3,0,0,1,0,0,0,3.35
ACCY,552,Partnership Income Taxation,37,87,76,88,156,18,7,1,0,0,1,0,1,0,3.4
ACCY,553,Advanced Tax Topics,10,19,29,21,15,9,0,0,0,0,0,0,0,0,3.51
ACCY,553,Advanced Topics in Acctg,5,10,8,6,1,0,0,0,0,0,0,0,0,0,3.74
ACCY,553,Multi-jurisdictional Taxation,6,9,18,12,12,2,0,0,0,0,0,0,0,0,3.51
ACCY,553,Selected Topics in Fed Tax,1,24,20,23,43,0,0,0,0,0,0,0,0,0,3.41
ACCY,553,Tax of Closely-held Entities,11,31,17,12,3,0,0,0,0,0,0,0,0,0,3.77
ACCY,554,International Taxation,19,33,28,25,45,7,0,0,0,0,0,0,0,0,3.49
ACCY,555,Inc Tx Acctg & Multistate Tx,4,30,37,44,15,3,0,0,0,0,0,0,0,0,3.54
ACCY,556,Tax Research,29,135,159,108,70,21,2,2,0,0,0,0,0,0,3.56
ACCY,557,Accounting Periods & Methods,6,85,24,15,31,0,2,3,0,0,0,0,0,0,3.65
ACCY,557,Consolidated Tax Returns,13,31,43,27,11,8,0,0,0,0,0,0,0,0,3.59
ACCY,557,Reorganizations,14,34,35,20,16,14,0,0,0,0,0,0,0,0,3.55
ACCY,558,Taxation of Closely-Held Bus.,16,76,43,14,10,0,0,0,0,0,0,0,1,0,3.76
ACCY,559,IRS Procedures,1,25,34,26,13,4,1,0,0,0,0,0,0,0,3.53
ACCY,559,Tax Policy,4,66,56,28,12,0,0,0,0,0,0,0,0,0,3.7
ACCY,560,Information in Value Creation,99,182,157,39,14,0,0,0,0,0,0,0,0,0,3.81
ACCY,561,Taxes and Business Strategy,4,29,14,11,38,5,0,1,0,0,0,0,0,0,3.42
ACCY,570,Data Analytics Foundations,13,102,11,5,3,1,1,2,0,0,0,0,0,0,3.88
ACCY,570,Data Anlaytics Foundations,5,16,7,3,8,1,0,0,0,0,0,0,0,0,3.66
ACCY,571,Stat Analyses for Accountancy,1,66,47,23,28,4,2,4,0,2,1,0,0,0,3.53
ACCY,575,Data Analytics Apps in ACCY,0,18,18,1,1,0,0,0,0,0,0,0,0,0,3.8
ACCY,593,Advanced Topics in Accounting,16,70,12,11,96,4,0,1,0,0,0,0,0,0,3.45
ACCY,593,Special Research Problems,166,259,47,49,90,5,0,2,0,0,0,0,0,0,3.76
ACE,100,Agr Cons and Resource Econ,116,322,305,307,418,240,187,203,125,73,87,64,90,7,2.78
ACE,161,Microcomputer Applications,0,3213,0,0,899,0,0,294,0,0,107,0,67,17,3.53
ACE,199,Agribus Leadership and Policy,4,24,9,2,3,1,0,0,0,0,0,0,0,0,3.8
ACE,199,Dev of Food and Ag Policy,9,11,10,8,6,2,0,0,1,0,0,0,0,0,3.58
ACE,199,Farm Food & Env Policy,8,12,0,1,0,0,0,0,0,0,0,0,0,0,3.97
ACE,199,Introduction to Sales,52,49,13,6,2,1,0,1,0,0,0,0,0,0,3.89
ACE,199,Multimedia Videography Project,5,48,6,4,5,0,0,0,0,0,0,0,0,0,3.86
ACE,210,Environmental Economics,78,284,121,180,243,86,57,73,24,17,8,3,21,7,3.16
ACE,222,Agricultural Marketing,109,483,177,152,368,79,57,124,20,12,30,2,27,4,3.22
ACE,231,Food and Agribusiness Mgt,37,279,234,214,170,65,29,30,6,4,2,1,4,1,3.41
ACE,232,Management of Farm Enterprises,22,130,68,75,188,47,29,73,17,6,18,2,7,0,3.03
ACE,240,Personal Financial Planning,143,526,335,294,406,156,96,145,42,17,41,13,29,5,3.19
ACE,251,The World Food Economy,144,445,357,259,339,229,113,121,42,18,21,4,23,7,3.19
ACE,254,Economic Systems in Africa,22,66,27,29,49,11,15,35,12,9,11,0,12,0,2.93
ACE,255,Econ of Rural Poverty and Dev,3,8,5,6,0,0,0,1,0,0,0,0,0,0,3.67
ACE,255,Econ of US Rural Poverty & Dev,3,15,12,17,21,7,4,8,2,0,0,0,1,0,3.14
ACE,261,Applied Statistical Methods,18,126,83,91,161,90,76,82,50,28,30,5,25,3,2.77
ACE,270,Consumer Economics,0,77,43,47,58,46,32,38,19,9,12,0,25,1,2.76
ACE,306,Food Law,29,82,68,27,53,31,8,16,3,0,5,0,4,0,3.33
ACE,310,Natural Resource Economics,38,226,146,124,130,82,44,31,14,5,4,1,5,3,3.3
ACE,332,Farm Management,0,5,9,7,5,2,0,0,0,0,0,0,0,0,3.45
ACE,341,Contemp Issues Financial Plng,0,19,2,1,0,0,0,0,0,0,0,0,0,0,3.94
ACE,341,Contemp Issues in AgAccy&Fin,12,61,45,16,2,2,1,2,1,0,4,0,3,0,3.58
ACE,341,Issues in AgAccy and FinAg,4,21,13,2,6,0,0,0,0,0,0,0,0,0,3.75
ACE,341,Issues in Agribus Mkts & Mgmt,57,14,10,2,5,2,0,1,0,0,0,0,1,0,3.8
ACE,341,Issues in Cons Econ & Finance,6,9,4,1,2,1,0,0,0,0,0,0,0,0,3.77
ACE,345,Finan Decision Indiv Sm Bus,15,528,101,142,125,45,21,19,6,5,1,3,0,2,3.57
ACE,346,Tax Policy and Finan Planning,27,101,79,38,70,23,12,12,3,0,1,0,1,0,3.43
ACE,360,Spreadsheet Models & Applic,137,142,92,50,66,40,22,20,15,9,4,4,8,2,3.37
ACE,398,App Tools/Concepts Bus Plng,0,17,7,1,0,0,0,0,0,0,0,0,0,0,3.88
ACE,398,Contemp Issues Financial Plng,0,16,5,2,1,0,0,0,0,0,0,0,0,0,3.83
ACE,398,Contemp Issues in Fin Planning,0,21,0,0,0,2,0,1,0,0,0,0,0,0,3.81
ACE,398,Contemporary Issues in Policy,7,31,4,0,1,0,0,0,1,0,0,0,0,0,3.89
ACE,398,Estate Plng for Finan Planners,4,4,9,3,2,2,2,0,0,0,0,0,0,0,3.5
ACE,398,Food Marketing and Behavior,20,82,32,15,11,1,4,0,0,0,0,0,0,0,3.76
ACE,398,Issues in Agribus Mkts & Mgmt,29,14,6,4,1,0,0,1,0,0,0,1,0,0,3.8
ACE,403,Agricultural Law,8,26,17,19,19,11,4,19,4,0,1,1,2,0,3.08
ACE,406,Environmental Law,14,35,23,20,47,30,8,33,18,5,13,7,7,1,2.71
ACE,411,Environment and Development,62,66,59,37,40,31,21,16,5,3,4,3,2,1,3.3
ACE,427,Commodity Price Analysis,31,79,82,81,94,52,45,37,20,4,11,4,5,1,3.05
ACE,428,Commodity Futures and Options,48,278,238,162,169,129,77,62,26,20,13,18,14,1,3.16
ACE,430,Food Marketing,7,36,49,68,73,50,33,14,4,2,7,0,1,0,3.06
ACE,431,Agri-food Strategic Management,7,35,51,51,47,26,21,4,2,1,0,0,0,0,3.25
ACE,432,Farm Management,39,27,15,6,0,2,0,1,0,0,0,0,0,0,3.85
ACE,435,Global Agribusiness Management,49,173,202,151,171,73,40,13,12,11,1,0,2,1,3.33
ACE,440,Finan Plan for Professionals,1,21,13,6,50,11,7,11,1,0,2,1,2,0,3.0
ACE,444,Finan Serv & Invest Plan,37,219,123,86,122,61,36,42,13,2,20,1,8,4,3.23
ACE,444,Finan Serv Individ Small Bus,3,8,6,10,12,3,3,2,2,1,1,0,0,0,3.14
ACE,445,Intermediate Personal Fin Plan,0,19,20,22,26,19,14,8,4,1,3,1,0,0,3.0
ACE,446,Modeling App's Finan Plan,12,65,18,13,45,17,13,29,14,4,16,6,3,1,2.87
ACE,447,Case Stud Agr Accy & Fin Plan,8,93,82,31,16,11,5,2,0,0,0,0,0,1,3.62
ACE,448,Rural Real Estate Appraisal,14,24,22,27,35,19,10,8,3,0,0,0,0,0,3.23
ACE,449,Retirement & Benefit Planning,20,42,26,24,62,25,21,24,9,7,8,3,3,0,2.95
ACE,451,Agriculture in Intl Dev,6,29,12,14,24,10,16,15,7,0,2,1,1,1,2.98
ACE,454,Econ Dev of Tropical Africa,7,46,18,25,57,26,8,39,5,4,8,4,6,0,2.86
ACE,455,Intl Trade in Food and Agr,71,93,85,68,81,37,25,18,11,4,3,1,5,1,3.3
ACE,456,Agr and Food Policies,15,93,14,7,47,8,4,10,4,1,3,0,0,0,3.44
ACE,471,Consumer Economic Policy,19,15,10,6,9,5,3,2,2,3,0,0,1,0,3.35
ACE,474,Econ of Consumption,1,30,32,26,42,26,20,11,7,2,5,0,0,0,3.03
ACE,476,Family Economics,11,43,42,62,53,37,33,16,11,3,1,0,2,0,3.08
ACE,562,Applied Regression Models I,7,76,25,16,13,1,0,0,0,0,0,0,0,0,3.76
ACE,563,Math Program App Econ I,20,10,4,2,4,4,0,0,0,0,0,0,0,0,3.73
ACE,564,Applied Regression Models II,2,65,29,15,10,2,0,0,0,0,0,0,0,0,3.74
ACE,592,Law and Regulation,3,12,9,11,7,2,0,2,0,0,0,0,0,0,3.48
ACE,592,Spatial Econometrics,13,3,1,2,1,2,1,0,0,0,0,0,0,0,3.7
ACES,101,Contemporary Issues in ACES,322,1533,133,36,137,19,21,44,9,4,16,0,36,3,3.75
ACES,102,Intro Sustainable Food Systems,25,19,5,2,1,0,2,0,0,0,0,0,0,0,3.86
ACES,179,History of Ag in IL Since 1860,10,53,37,21,66,28,25,20,6,2,3,2,11,1,2.97
ACES,409,Bioenergy Systems,1,6,5,1,2,3,6,1,0,0,1,0,0,0,3.1
ACES,501,Advanced Bioenergy Topics,8,16,6,0,1,0,0,0,0,0,0,0,0,0,3.9
ADV,150,Introduction to Advertising,399,1419,132,181,605,65,65,150,10,15,32,10,51,14,3.45
ADV,199,Creativity Conquers the World,0,21,0,1,0,0,1,0,0,0,0,0,1,0,3.74
ADV,281,Advertising Research Methods,7,85,129,170,334,93,82,133,30,26,22,8,18,4,2.83
ADV,283,Advertising and Brand Strategy,1,193,107,30,17,12,3,1,2,0,0,0,2,0,3.71
ADV,283,"Content, Contact, Connections",78,238,99,17,9,6,1,1,0,1,0,1,0,0,3.84
ADV,284,Consumer Insight,2,292,296,102,61,16,7,4,0,1,0,0,0,0,3.65
ADV,290,Sports Public Relations,0,21,13,3,3,0,0,0,0,0,0,0,0,0,3.77
ADV,300,Introduction to Advertising,335,1519,288,260,947,145,98,250,24,15,46,4,60,16,3.35
ADV,305,Digital ADV Content,1,38,3,1,0,0,0,0,0,0,0,0,0,0,3.96
ADV,310,Intro to Public Relations,86,283,239,172,370,110,65,83,24,5,12,5,19,7,3.18
ADV,311,Classic Campaigns,0,27,31,14,12,5,1,0,0,0,0,0,1,0,3.52
ADV,312,Advertising History,0,16,39,51,57,35,26,15,7,6,3,1,4,0,2.91
ADV,350,Writing for Public Relations,43,67,51,36,21,7,0,5,2,0,0,2,2,0,3.57
ADV,390,Content Creation,0,95,127,125,216,139,85,35,17,6,3,0,4,1,3.03
ADV,393,Advertising and Society,228,124,53,39,44,13,8,10,2,0,1,0,1,1,3.71
ADV,400,Advanced Selling Techniques,14,40,0,0,6,0,0,0,0,0,0,0,2,0,3.77
ADV,400,Digital Advertising,0,8,21,0,1,0,0,0,0,0,0,0,0,0,3.73
ADV,400,Special Problems,3,106,25,11,29,1,4,11,0,0,0,0,0,0,3.61
ADV,409,Media Entrepreneurship,0,5,5,16,0,0,0,1,0,0,0,0,0,0,3.47
ADV,410,Advanced Public Relations,217,319,136,65,70,20,12,5,3,1,0,0,1,2,3.72
ADV,410,Consumer Comm and the Public,17,69,54,25,11,1,0,0,0,0,0,0,0,0,3.73
ADV,410,Public Relations Strategies,15,65,32,36,20,2,11,2,1,0,1,0,0,1,3.52
ADV,411,Classic Campaigns,19,45,26,11,9,4,0,1,0,0,1,0,0,0,3.7
ADV,412,Advertising History,0,38,78,116,120,61,46,30,19,6,5,1,3,0,2.98
ADV,450,Content Creation,0,67,99,148,177,99,62,45,10,7,0,0,3,1,3.04
ADV,450,Creative Strategy and Tactics,0,41,46,39,47,35,14,14,2,0,0,0,0,0,3.2
ADV,460,Innovation in Advertising,30,359,110,105,66,31,21,11,8,2,0,0,1,0,3.6
ADV,475,Multicultural Advertising,0,1,6,9,9,3,4,2,0,0,0,0,1,0,2.98
ADV,476,Global Advertising,0,23,33,18,10,2,0,0,2,0,0,0,0,0,3.54
ADV,478,Psychology of Advertising,4,29,1,0,20,0,4,4,1,0,2,0,1,0,3.28
ADV,481,Advertising Research Methods,1,212,21,14,333,12,16,131,7,0,21,1,5,2,3.01
ADV,483,Audience Analysis,8,206,423,337,249,113,46,23,13,3,2,0,2,1,3.34
ADV,490,Digital Advertising,8,25,4,1,3,4,0,0,0,0,0,0,0,0,3.77
ADV,490,Digital Advertising Content,0,51,4,6,12,3,1,1,0,0,2,0,6,1,3.32
ADV,490,Digital Media and Society,1,5,2,5,4,1,0,3,2,0,1,0,1,0,2.92
ADV,490,Media Entrepreneurship,4,16,17,14,5,2,0,0,0,0,0,0,0,0,3.61
ADV,490,Psychology of Advertising,2,17,0,1,1,0,0,1,0,0,1,0,0,0,3.71
ADV,490,Social Media Analytics,9,35,10,1,0,1,0,0,0,0,0,0,0,0,3.9
ADV,490,Sports PR,0,30,18,2,0,2,1,0,0,0,0,0,2,0,3.64
ADV,491,Advertising Management Plan,15,170,176,143,101,34,15,9,5,1,1,0,0,0,3.46
ADV,492,Tech and Advertising Campaigns,7,57,17,14,11,2,1,0,0,0,0,0,0,0,3.72
ADV,493,Advertising and Society,191,203,75,46,64,17,15,9,6,0,1,0,2,2,3.65
ADV,493,Social and Cult Context of Adv,9,44,19,36,28,22,20,6,2,1,1,2,1,2,3.16
ADV,494,Persuasion Consumer Response,0,103,27,22,14,6,8,9,1,0,1,0,0,0,3.57
ADV,498,The Sandage Project,0,148,64,22,9,0,0,0,0,0,0,0,0,0,3.81
ADV,550,Foundations of Advertising,0,7,7,5,4,2,0,0,0,0,0,0,0,0,3.51
ADV,580,Advertising Theory,0,36,29,10,1,0,0,0,0,0,0,0,0,0,3.77
ADV,581,Quanti Research Methods in Adv,1,14,0,2,16,2,0,0,0,0,0,0,0,0,3.43
ADV,582,Qualitative Rsrch in Advert,0,51,29,1,5,0,0,0,0,0,0,0,0,0,3.82
ADV,587,Graduate Seminar I,0,10,30,6,2,0,0,0,0,0,0,0,0,0,3.67
ADV,588,Graduate Seminar II,0,9,7,5,4,0,0,0,0,0,0,0,0,0,3.61
AE,100,Intro to Aerospace Engineering,179,514,121,77,78,28,7,12,2,1,0,2,7,2,3.72
AE,199,Aerospace Computations,4,26,13,4,8,3,1,2,1,0,2,1,1,0,3.39
AE,199,CAD,1,14,6,2,2,1,2,0,1,0,0,0,0,0,3.57
AE,199,Computer Aided Design,3,163,53,39,19,16,8,1,4,0,2,1,8,0,3.53
AE,199,Computer-Aided Design,4,99,60,30,24,8,7,2,7,0,4,3,4,0,3.43
AE,199,"Design, Build, Fly",1,19,0,0,1,0,0,0,0,0,0,0,0,0,3.95
AE,199,Space System Seminar,33,6,0,0,0,0,1,0,0,0,0,0,0,0,3.96
AE,199,Student Aircraft Builders,0,56,1,1,1,0,0,0,0,0,0,0,3,1,3.71
AE,201,Aerospace Flight Mechanics I,10,26,4,12,16,6,1,2,5,0,1,0,1,0,3.31
AE,202,Aerospace Flight Mechanics,85,212,174,118,111,69,28,21,13,1,6,0,18,2,3.35
AE,252,Aerospace Dynamics I,9,10,8,9,10,7,10,11,5,3,2,4,2,0,2.74
AE,302,Aerospace Flight Mechanics II,22,30,19,25,18,9,2,6,1,0,0,0,1,0,3.44
AE,311,Incompressible Flow,27,150,90,59,279,48,43,129,9,6,20,5,29,5,2.9
AE,312,Compressible Flow,14,176,29,33,195,19,10,135,14,0,50,0,22,3,2.83
AE,321,Mechs of Aerospace Structures,20,98,95,83,127,100,120,86,37,37,51,19,57,7,2.53
AE,322,Aerospace Structures II,5,5,3,6,12,18,1,10,3,5,9,3,3,1,2.38
AE,323,Applied Aerospace Structures,20,93,69,31,89,33,32,44,29,14,18,15,24,1,2.78
AE,352,Aerospace Dynamical Systems,110,111,132,104,103,84,89,37,21,2,12,0,23,4,3.1
AE,353,Aerospace Control Systems,128,181,81,67,112,56,29,51,13,7,4,3,16,3,3.26
AE,360,Structures & Control Lab,2,19,16,14,15,5,1,3,0,0,0,0,0,0,3.41
AE,370,Aerospace Numerical Methods,23,120,67,47,59,34,14,20,5,4,11,2,14,2,3.18
AE,402,Orbital Mechanics,49,113,59,38,79,45,9,27,11,0,2,1,3,1,3.3
AE,403,Spacecraft Attitude Control,9,18,10,6,5,7,0,2,0,0,0,0,0,0,3.55
AE,410,Computational Aerodynamics,27,74,32,19,11,10,5,3,3,0,1,1,6,0,3.48
AE,412,Viscous Flow & Heat Transfer,36,77,21,25,47,10,6,8,1,1,3,0,0,3,3.43
AE,416,Applied Aerodynamics,3,82,58,61,75,43,29,26,12,8,5,0,9,0,3.04
AE,419,Aircraft Flight Mechanics,9,39,31,34,28,18,13,13,5,5,2,4,2,0,3.09
AE,433,Aerospace Propulsion,22,308,121,86,86,42,22,34,15,10,10,3,5,1,3.39
AE,434,Rocket Propulsion,1,57,40,19,75,10,9,28,1,0,1,0,9,1,3.08
AE,435,Electric Propulsion,4,32,15,17,15,5,8,3,2,0,0,0,0,0,3.39
AE,440,Aerospace Systems Design I,7,21,8,6,2,0,1,0,0,0,0,0,0,0,3.77
AE,441,Aerospace Systems Design II,1,51,37,13,13,1,0,1,0,0,0,0,0,0,3.68
AE,442,Aerospace Systems Design I,97,159,109,120,81,24,13,15,9,3,6,0,12,3,3.4
AE,443,Aerospace Systems Design II,62,109,108,62,41,21,8,4,1,0,0,0,1,0,3.58
AE,451,Aeroelasticity,11,12,10,10,9,2,0,1,0,0,0,0,0,0,3.57
AE,454,Systems Dynamics & Control,15,24,18,16,7,4,1,0,0,0,0,0,0,2,3.56
AE,460,Aerodynamics & Propulsion Lab,28,391,187,82,56,5,4,2,1,0,0,0,1,2,3.73
AE,461,Structures & Control Lab,22,223,149,52,14,8,6,8,3,2,1,0,2,0,3.68
AE,470,Aerospace Numerical Methods,7,14,12,13,8,6,4,7,1,0,1,2,2,0,3.1
AE,483,Aerospace Decision Algorithms,54,119,67,36,43,16,13,6,4,3,5,1,3,2,3.46
AE,483,UAV Navigation and Control,84,75,17,16,7,6,2,2,1,1,1,0,2,1,3.73
AE,498,Fundamentals of Systems Engr,7,13,5,4,5,0,0,2,1,0,0,0,0,0,3.58
AE,504,Optimal Aerospace Systems,23,34,22,1,8,5,0,0,0,0,0,0,0,0,3.76
AE,526,Composites Manufacturing,0,9,8,2,5,2,0,0,0,0,0,0,0,0,3.55
AFRO,100,Intro to African American St,77,95,129,43,37,34,16,16,15,5,1,2,10,2,3.34
AFRO,101,"Black America, 1619-Present",40,61,63,70,55,27,25,17,10,4,7,3,17,4,3.05
AFRO,103,Black Women in the Diaspora,8,95,45,29,45,35,17,11,17,8,9,5,11,0,3.03
AFRO,105,Black Literature in America,6,25,20,19,19,9,1,4,3,2,1,0,0,2,3.25
AFRO,132,African American Music,0,24,13,9,6,2,1,0,0,0,0,0,0,0,3.62
AFRO,199,"100 Strong: Acad, Ldrshp & Com",13,16,10,8,4,6,1,2,2,0,0,0,2,0,3.39
AFRO,199,"Academics, Ldrshp, & Community",38,69,16,14,15,5,1,6,0,0,0,0,0,0,3.7
AFRO,226,Black Women Contemp US Society,5,21,7,8,3,0,3,0,0,0,0,0,0,0,3.67
AFRO,227,Studies in Black Television,0,9,4,4,1,1,0,0,1,1,0,0,0,0,3.46
AFRO,231,Lang Diff Dis: American Persp,4,50,0,1,15,0,0,2,0,0,2,0,0,1,3.6
AFRO,261,Intro to the African Diaspora,3,65,52,17,12,3,1,2,3,0,2,0,0,1,3.58
AFRO,298,Exploring the Civil Rights Mov,8,10,3,1,2,0,0,0,0,0,0,0,0,0,3.85
AFRO,342,Black Men and Masculinities,0,4,11,10,21,35,18,10,4,5,7,0,0,2,2.59
AFRO,372,Class Politics & Blk Community,7,32,13,3,14,12,1,9,4,0,0,0,1,1,3.24
AFRO,381,Black Women and Film,0,22,0,0,4,0,1,0,0,0,0,0,0,0,3.79
AFRO,383,Hist of Blk Women's Activism,0,45,24,17,11,7,7,1,1,1,0,0,1,1,3.43
AFRO,410,Hate Crimes,70,160,33,13,9,0,2,1,1,0,0,1,4,0,3.81
AFRO,411,African American Psychology,7,58,8,2,36,2,3,11,0,0,3,0,1,2,3.32
AFST,210,Intro to Mod African Lit,0,16,24,15,15,6,2,3,1,0,0,0,1,0,3.32
AFST,222,Introduction to Modern Africa,43,128,57,20,10,2,0,5,4,2,0,4,2,1,3.66
AGCM,110,Intro to Ag and Env Comm,2,69,14,10,8,5,1,6,1,0,1,0,0,0,3.62
AGCM,220,Communicating Agriculture,11,43,18,5,13,1,1,3,1,1,0,1,6,0,3.39
AGCM,270,Sales Communications,0,81,0,3,19,0,1,5,0,2,5,0,5,0,3.4
AGCM,315,Emerging Media,3,34,5,9,3,0,0,0,0,0,0,0,0,0,3.8
AGCM,320,Public Information Campaigns,0,4,19,17,4,4,0,0,0,1,0,0,0,0,3.39
AGCM,330,Environmental Communications,4,19,14,3,4,1,1,0,2,0,0,1,0,0,3.56
AGCM,430,Comm in Env Social Movements,15,23,29,19,13,6,0,3,2,0,2,0,1,0,3.43
AGED,100,Intro to Ag & Leadership Ed,33,33,5,6,4,2,2,2,2,0,0,0,3,1,3.57
